Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
47,NaN,0,28,33,64,133,98,81,76,81,28,117,8,0,24,79,2,86,41,79,124,29,93,32,58
48,NaN,99,100,109,21,65,70,72,78,0,70,75,2,9,60,42,2,90,64,43,92,8,87,61,62
49,NaN,59,67,67,15,102,46,40,39,114,71,63,0,0,27,116,28,44,58,114,74,116,61,90,28
50,NaN,37,60,53,19,72,96,91,117,81,79,22,5,2,32,45,29,124,17,62,85,25,10,8,34
51,NaN,55,47,64,88,33,94,82,68,64,34,40,2,0,42,46,7,78,98,57,47,48,33,29,122
52,NaN,41,31,29,73,136,70,61,80,73,122,125,9,0,44,115,0,97,71,50,116,107,66,1,79
53,NaN,104,99,119,56,92,38,78,73,41,79,35,10,9,9,80,10,90,74,11,47,31,82,0,72
54,NaN,60,60,76,74,0,27,18,25,86,54,9,0,14,15,44,2,35,73,107,81,66,86,32,76
55,NaN,74,62,76,39,137,51,82,139,76,64,15,29,8,28,15,7,127,26,78,86,67,60,7,36
56,NaN,73,38,81,83,95,43,106,82,69,42,0,12,6,31,6,0,81,109,97,42,50,126,1,132
57,NaN,29,19,43,69,95,17,44,92,73,121,8,22,0,7,39,2,58,77,74,132,68,85,23,88
58,NaN,90,73,100,40,78,68,115,64,39,82,1,8,5,52,21,26,69,90,39,80,54,0,1,88
59,NaN,69,29,72,79,33,22,88,22,116,61,10,22,3,38,28,10,35,67,120,88,55,121,0,81
60,NaN,68,24,0,69,168,38,81,100,80,64,8,34,0,4,50,0,118,40,86,92,92,21,15,38
61,NaN,46,33,80,37,102,27,84,69,74,37,11,1,1,65,41,0,113,119,72,42,41,89,34,121
62,NaN,9,20,44,24,101,31,45,55,80,113,5,39,0,10,127,2,81,81,57,123,57,68,6,98
63,NaN,24,60,27,21,90,40,135,68,25,81,6,61,0,38,81,2,81,71,40,84,74,45,0,76
64,NaN,16,71,57,113,36,71,81,37,111,80,0,30,53,16,82,0,38,76,84,102,48,129,9,81
65,NaN,14,62,24,25,131,85,95,121,76,65,10,117,2,6,61,4,107,41,67,51,69,60,4,29
66,NaN,27,51,118,12,97,10,90,83,73,34,7,63,1,0,44,10,41,122,82,33,38,12,4,125
67,NaN,9,11,76,5,83,15,36,0,80,94,0,81,0,0,110,0,39,74,75,109,82,21,13,87
68,NaN,17,83,74,13,82,146,105,128,38,57,2,72,54,48,87,7,120,81,41,85,69,13,3,94
69,NaN,28,71,72,48,35,57,84,77,112,69,18,33,46,40,27,0,102,68,119,63,63,71,67,67
70,NaN,9,60,38,42,123,59,94,73,68,74,16,127,78,16,70,2,82,32,72,37,52,81,12,34
71,NaN,11,50,123,37,86,83,60,97,67,40,13,93,65,10,46,0,64,81,49,17,43,80,4,93
72,NaN,0,24,68,45,75,44,10,28,66,132,2,0,10,3,151,0,43,86,64,116,109,96,12,81
73,NaN,12,70,56,18,85,45,22,89,35,72,0,148,19,50,83,10,116,77,34,19,102,39,4,52
