TimesH,Frame,NoMissing,9,9,12,12,21,21,30,30,50,50,51,51,52,52,61,61,86,86,96,96,111,111,121,121,155,155,240,240,260,260,270,270,301,301,319,319,320,320,337,337,344,344,347,347,363,363,373,373,385,385,386,386,388,388,391,391,392,392,406,406,420,420,424,424,447,447,488,488,497,497,509,509,577,577,648,648,656,656,698,698,705,705,750,750,787,787,804,804,810,810,833,833,870,870,887,887,914,914,962,962,1001,1001,1025,1025,1054,1054,1113,1113,1233,1233,1326,1326,1360,1360,1395,1395,1404,1404,1434,1434,1507,1507,1582,1582,1585,1585,1593,1593,1601,1601,1622,1622,1654,1654,1656,1656,1774,1774,1790,1790,1822,1822,1831,1831,1833,1833,1844,1844,1878,1878,1947,1947,1989,1989,2061,2061,2107,2107,2177,2177,2301,2301,2308,2308,2401,2401,2409,2409,2508,2508,2599,2599,2605,2605,2623,2623,2624,2624,2639,2639,2793,2793,2878,2878,2897,2897,2942,2942,2998,2998,3114,3114,3217,3217,3286,3286,3377,3377,3600,3600,3633,3633,3695,3695
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
356.25,1425.0,,310.091,148.965,46.06100000000001,151.637,208.25,142.164,252.18900000000002,144.964,39.548,132.304,63.178999999999995,131.879,202.421,131.446,53.776,133.539,137.512,165.707,45.492,160.22,90.995,155.083,79.78699999999999,157.83700000000002,83.18299999999999,178.66299999999998,229.02900000000002,34.912,246.015,28.974,265.498,15.69,249.27200000000002,62.218999999999994,235.65099999999998,56.793,272.26099999999997,57.699,240.035,51.203,145.42600000000002,39.785,232.847,40.318000000000005,286.863,87.029,261.482,78.434,240.442,83.219,80.622,72.714,154.192,73.17399999999999,267.774,72.678,97.759,74.226,260.972,66.738,68.806,106.39399999999999,77.384,108.287,253.40200000000002,104.11399999999999,165.47299999999998,126.816,319.776,121.041,46.562,126.152,116.2,74.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.5,1426.0,,310.092,148.974,46.2,151.8,208.296,142.131,252.218,144.95,39.516,132.298,63.181999999999995,131.961,202.43200000000002,131.452,53.82,133.501,137.50799999999998,165.63,45.576,160.247,91.04799999999999,155.094,79.786,157.83100000000002,83.15700000000001,178.62400000000002,228.771,34.859,245.97799999999998,28.949,265.532,15.758,249.25599999999997,62.207,235.65,56.841,272.252,57.696999999999996,240.05599999999998,51.206,145.38,39.683,232.821,40.278,286.809,86.984,261.411,78.39,240.418,83.18700000000001,80.641,72.831,154.111,73.137,267.765,72.71300000000001,97.75399999999999,74.256,260.983,66.758,68.79899999999999,106.383,77.34100000000001,108.26700000000001,253.43599999999998,104.105,165.463,126.805,319.849,121.12899999999999,46.582,126.117,116.1,73.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.75,1427.0,,310.124,149.002,46.262,151.846,208.31099999999998,142.113,252.226,144.892,39.495,132.25,63.193000000000005,131.99,202.43900000000002,131.451,53.729,133.487,137.528,165.56599999999997,45.597,160.283,91.01100000000001,155.06799999999998,79.775,157.817,83.135,178.57299999999998,228.88400000000001,34.959,246.0,28.978,265.546,15.74,249.269,62.19,235.646,56.773,272.253,57.763000000000005,240.063,51.18899999999999,145.416,39.68,232.77900000000002,40.248000000000005,286.893,86.94,261.406,78.387,240.365,83.18700000000001,80.624,72.829,154.124,73.081,267.753,72.62899999999999,97.759,74.268,261.047,66.723,68.821,106.414,77.24,108.30799999999999,253.429,104.134,165.44799999999998,126.786,319.847,121.115,46.582,126.11200000000001,115.959,73.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0,1428.0,,310.147,149.014,46.207,151.784,208.31400000000002,142.07399999999998,252.236,144.898,39.321999999999996,132.227,63.141000000000005,131.976,202.418,131.445,53.75,133.431,137.615,165.618,45.559,160.241,91.001,155.028,79.782,157.859,83.11,178.52,228.97799999999998,35.051,245.97299999999998,28.964000000000002,265.539,15.715,249.257,62.177,235.708,56.711999999999996,272.256,57.727,240.044,51.176,145.465,39.536,232.82,40.357,286.91200000000003,86.844,261.434,78.423,240.365,83.19200000000001,80.628,72.76899999999999,154.181,72.97800000000001,267.742,72.541,97.77,74.265,261.084,66.69800000000001,68.805,106.399,77.219,108.31,253.445,104.14399999999999,165.472,126.76700000000001,319.797,121.089,46.578,126.06200000000001,116.008,73.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.25,1429.0,,310.185,149.036,46.156000000000006,151.697,208.334,142.072,252.255,144.89600000000002,39.244,132.19899999999998,63.076,131.96200000000002,202.43099999999998,131.431,53.69,133.39,137.60399999999998,165.56400000000002,45.528999999999996,160.245,90.90799999999999,155.02200000000002,79.79,157.827,83.09299999999999,178.50599999999997,228.81,34.895,245.87599999999998,28.991,265.526,15.665,249.24,62.172,235.69299999999998,56.708,272.245,57.717,240.043,51.178999999999995,145.545,39.454,232.773,40.349000000000004,286.92400000000004,86.78399999999999,261.39,78.403,240.36700000000002,83.18299999999999,80.645,72.786,154.24,72.969,267.721,72.57300000000001,97.771,74.257,261.119,66.7,68.749,106.367,77.165,108.264,253.458,104.18299999999999,165.493,126.74799999999999,319.76099999999997,121.072,46.56,126.07,115.946,73.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.5,1430.0,,310.232,149.123,46.203,151.767,208.33,142.203,252.25400000000002,144.89700000000002,39.169000000000004,132.156,63.027,132.053,202.435,131.431,53.656000000000006,133.38299999999998,137.569,165.50400000000002,45.519,160.27700000000002,90.854,154.993,79.788,157.78799999999998,83.125,178.502,228.577,34.773,245.838,29.005,265.51,15.583,249.235,62.143,235.65400000000002,56.65,272.226,57.692,240.05,51.145,145.499,39.5,232.676,40.229,286.973,86.73,261.357,78.381,240.377,83.178,80.687,72.83800000000001,154.267,72.90899999999999,267.724,72.518,97.741,74.26100000000001,261.144,66.69800000000001,68.73100000000001,106.345,77.09,108.24799999999999,253.488,104.164,165.485,126.72200000000001,319.775,121.038,46.55,126.096,115.913,73.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.75,1431.0,,310.325,149.162,46.211999999999996,151.781,208.398,142.207,252.261,144.886,39.097,132.122,63.042,132.026,202.426,131.45,53.693999999999996,133.309,137.621,165.42700000000002,45.486000000000004,160.215,90.85600000000001,154.983,79.758,157.763,83.11,178.46599999999998,228.391,34.614000000000004,245.797,28.971999999999998,265.476,15.546,249.237,62.113,235.66299999999998,56.606,272.245,57.604,240.074,51.105,145.499,39.499,232.59799999999998,40.085,287.043,86.60799999999999,261.363,78.381,240.34,83.141,80.67399999999999,72.795,154.221,72.929,267.709,72.546,97.7,74.235,261.22,66.69800000000001,68.717,106.35,77.03399999999999,108.24,253.49099999999999,104.102,165.47400000000002,126.714,319.813,121.04799999999999,46.534,126.089,115.87700000000001,73.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0,1432.0,,310.324,149.158,46.218,151.783,208.455,142.264,252.27599999999998,144.841,39.061,132.10399999999998,63.028999999999996,132.1,202.43200000000002,131.446,53.733000000000004,133.197,137.6,165.33,45.42100000000001,160.26,90.904,154.991,79.77199999999999,157.795,83.094,178.41299999999998,228.28,34.486,245.812,28.95,265.425,15.542,249.18400000000003,62.085,235.662,56.412,272.228,57.596000000000004,240.08599999999998,51.066,145.429,39.552,232.55700000000002,40.006,287.16900000000004,86.54899999999999,261.346,78.366,240.31,83.101,80.723,72.885,154.181,72.82,267.785,72.416,97.677,74.194,261.285,66.658,68.658,106.331,76.957,108.229,253.51,104.041,165.412,126.705,319.77,120.978,46.519,126.08200000000001,115.84700000000001,73.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.25,1433.0,,310.301,149.106,46.184,151.737,208.46200000000002,142.404,252.29,144.844,39.044000000000004,132.127,63.063,132.207,202.4,131.459,53.657,133.226,137.688,165.24599999999998,45.406000000000006,160.259,90.8,155.012,79.77199999999999,157.78799999999998,83.073,178.382,,,245.798,28.889,265.38599999999997,15.495,249.162,62.068999999999996,235.695,56.338,272.225,57.602,240.05200000000002,51.088,145.532,39.391999999999996,232.558,40.007,287.135,86.48299999999999,261.307,78.34100000000001,240.312,83.044,80.712,72.815,154.091,72.736,267.79900000000004,72.406,97.667,74.171,261.279,66.664,68.619,106.352,76.906,108.196,253.488,104.00299999999999,165.388,126.685,319.767,120.95299999999999,46.473,126.182,115.79700000000001,73.438,,,285.855,140.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.5,1434.0,,310.315,149.135,46.168,151.72299999999998,208.447,142.32399999999998,252.283,144.809,39.031,132.125,63.051,132.24,202.417,131.484,53.607,133.15,137.66899999999998,165.227,45.341,160.255,90.77600000000001,155.009,79.77199999999999,157.789,83.079,178.364,,,245.75400000000002,28.901999999999997,265.313,15.429,249.15599999999998,62.058,235.735,56.316,272.242,57.516999999999996,240.097,51.071000000000005,145.529,39.435,232.607,39.98,287.14599999999996,86.52,261.298,78.331,240.264,83.05,80.695,72.808,154.063,72.753,267.822,72.41,97.637,74.134,261.319,66.60600000000001,68.566,106.304,76.836,108.21600000000001,253.456,104.014,165.333,126.678,319.762,120.973,46.478,126.176,115.76799999999999,73.411,163.171,78.609,285.937,140.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
