TimesH,Frame,NoMissing,26,26,53,53,75,75,95,95,102,102,108,108,135,135,137,137,141,141,142,142,176,176,183,183,184,184,186,186,194,194,201,201,209,209,216,216,229,229,237,237,252,252,265,265,266,266,283,283,291,291,294,294,301,301,304,304,315,315,351,351,356,356,377,377,382,382,385,385,394,394,397,397,403,403,406,406,413,413,414,414,420,420,430,430,439,439,481,481,485,485,488,488,745,745,823,823,1003,1003,1109,1109,1110,1110
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
183.75,735.0,,114.479,17.488,232.988,32.544000000000004,110.53399999999999,44.815,103.42399999999999,55.114,221.956,56.886,98.395,60.023,278.718,69.47399999999999,291.319,71.85,255.41099999999997,72.804,264.594,72.727,267.801,86.05799999999999,88.477,88.65,108.75,89.073,230.25099999999998,91.145,115.65799999999999,95.647,289.98900000000003,96.311,301.903,100.90899999999999,80.962,103.93299999999999,268.07099999999997,106.486,254.196,110.736,77.362,114.251,64.453,119.079,128.384,118.619,310.17,124.26799999999999,227.66,126.961,87.34,128.437,290.13,129.787,36.442,131.952,246.218,133.011,279.465,144.084,73.872,145.857,312.346,149.774,111.227,151.52100000000002,302.325,152.003,65.529,155.976,283.779,156.145,311.372,157.134,130.204,157.882,228.67700000000002,160.954,264.492,160.46,78.354,162.96,29.394000000000002,164.857,145.618,166.68,20.061,178.351,280.034,179.96599999999998,101.428,181.225,,,,,,,,,,
184.0,736.0,,114.391,17.309,232.955,32.55,110.5,44.913000000000004,103.39299999999999,55.077,221.968,57.028,98.271,59.978,278.72,69.472,291.33099999999996,71.85,255.41,72.815,264.625,72.675,267.80400000000003,86.02799999999999,88.47399999999999,88.631,108.792,89.014,230.30599999999998,91.196,115.649,95.69,290.022,96.307,301.92400000000004,100.639,81.012,103.92200000000001,268.047,106.47,253.86599999999999,111.25200000000001,77.331,114.204,64.42699999999999,119.081,128.47799999999998,118.571,310.29400000000004,124.228,227.72799999999998,126.95100000000001,87.406,128.44799999999998,290.378,129.59799999999998,36.429,131.875,246.24200000000002,133.05,279.432,144.107,73.884,145.857,312.444,149.637,111.243,151.536,302.322,152.056,65.544,156.039,283.677,156.23,311.348,157.2,130.29399999999998,157.829,228.71,160.858,264.517,160.26,78.095,163.02100000000002,29.383000000000003,164.842,145.596,166.66099999999997,20.07,178.718,280.08,179.93900000000002,101.464,181.21599999999998,,,,,,,,,,
184.25,737.0,,114.36399999999999,17.291,232.99900000000002,32.455999999999996,110.39399999999999,44.956,103.419,55.145,221.99200000000002,56.898,98.211,60.005,278.677,69.49600000000001,291.29,71.829,255.438,72.814,264.627,72.619,267.818,86.01299999999999,88.492,88.62700000000001,108.807,88.97,230.37400000000002,91.179,114.92399999999999,94.79899999999999,290.01,96.34299999999999,301.915,100.46700000000001,80.997,103.95100000000001,268.045,106.473,253.88400000000001,111.069,77.275,114.101,64.42699999999999,119.022,128.463,118.58200000000001,310.5,124.171,227.66400000000002,126.954,87.359,128.461,,,36.384,131.80200000000002,246.25799999999998,133.05,279.35900000000004,144.075,73.92699999999999,145.892,312.488,149.554,111.235,151.547,302.318,152.055,65.423,156.002,283.743,156.17700000000002,311.322,157.175,130.329,157.735,228.699,160.716,264.629,160.16299999999998,78.112,163.011,29.487,164.771,145.548,166.625,20.016,176.75799999999998,280.082,179.915,101.45100000000001,181.174,,,,,,,,,,
184.5,738.0,,114.309,17.241,232.921,32.414,110.257,44.99,103.475,55.163999999999994,222.047,56.731,98.243,60.038999999999994,278.60900000000004,69.44800000000001,291.303,71.819,255.421,72.82600000000001,264.633,72.564,267.829,85.97,88.48899999999999,88.625,108.868,89.01,230.41400000000002,91.226,114.97399999999999,94.88799999999999,289.97700000000003,96.32700000000001,302.063,100.68299999999999,81.115,103.834,268.043,106.459,253.905,111.03399999999999,77.34100000000001,114.11399999999999,64.41,119.046,128.481,118.66799999999999,310.437,124.242,227.679,126.962,87.29299999999999,128.47,289.494,129.28799999999998,36.372,131.735,246.23,133.03799999999998,279.427,144.11700000000002,73.942,145.889,312.513,149.5,111.227,151.576,302.35400000000004,152.058,65.378,155.989,283.793,156.161,311.28700000000003,157.151,130.356,157.76,228.7,160.674,264.631,160.314,78.104,163.042,29.533,164.704,145.484,166.226,20.265,179.482,280.09,179.93400000000003,101.48,181.15599999999998,,,,,,,,,,
184.75,739.0,,114.21700000000001,17.12,232.93400000000003,32.349000000000004,110.219,45.01,103.413,55.174,222.08599999999998,56.791000000000004,98.205,60.071999999999996,278.552,69.431,291.314,71.805,255.426,72.798,264.599,72.527,267.874,85.944,88.492,88.598,108.835,88.99,230.40900000000002,91.22399999999999,115.055,95.012,290.0,96.339,302.164,100.669,81.055,103.949,268.019,106.485,253.942,110.917,77.27199999999999,114.06700000000001,64.44,119.052,128.47899999999998,118.71,310.485,124.251,227.692,127.00299999999999,87.272,128.49,290.091,129.064,36.384,131.671,246.255,132.988,279.45599999999996,144.216,73.955,145.92700000000002,312.486,149.407,111.166,151.56,302.37,151.912,65.336,155.957,283.725,156.202,311.26599999999996,157.156,130.31,157.816,228.65900000000002,160.643,264.608,160.471,78.13600000000001,162.885,29.469,164.767,145.52700000000002,165.94099999999997,20.0,179.0,280.125,179.921,101.46799999999999,181.132,,,,,,,,,,
185.0,740.0,,114.155,17.009,232.895,32.36,110.23100000000001,45.019,103.42,55.143,222.199,56.67100000000001,98.175,60.1,278.53700000000003,69.485,291.309,71.797,255.408,72.755,264.539,72.564,267.875,85.911,88.397,88.601,108.869,88.963,230.38,91.181,115.054,95.009,289.991,96.355,302.056,100.204,81.134,103.852,267.996,106.50399999999999,253.82,111.064,77.345,114.07,64.41199999999999,119.085,128.52200000000002,118.71,310.447,124.23,227.828,127.029,87.26,128.472,291.884,129.21200000000002,36.441,131.835,246.25599999999997,133.018,279.4,144.175,73.955,145.876,312.478,149.50799999999998,111.12200000000001,151.511,302.495,151.859,65.245,155.97,283.757,156.17700000000002,311.216,157.209,130.30100000000002,157.88,228.6,160.757,264.671,160.46200000000002,78.192,162.673,29.476999999999997,164.792,145.418,165.821,,,280.135,179.929,101.45299999999999,181.002,,,,,,,,,,
185.25,741.0,,114.18,17.09,232.979,32.365,110.18,45.036,103.42299999999999,55.178000000000004,222.218,56.63399999999999,98.258,60.119,278.64599999999996,69.589,291.329,71.76,255.392,72.75399999999999,264.514,72.548,267.86,85.928,88.431,88.60700000000001,108.928,88.94200000000001,230.373,91.12799999999999,115.686,95.78399999999999,290.025,96.399,302.006,100.199,81.087,103.912,268.01,106.47399999999999,253.94400000000002,111.035,77.431,114.083,64.41199999999999,119.162,128.53,118.719,310.525,124.18299999999999,227.887,127.05799999999999,87.264,128.534,291.714,129.22899999999998,36.416,131.984,246.295,132.952,279.438,144.18,73.936,145.825,312.616,149.406,111.085,151.475,302.472,151.797,65.312,156.011,283.72700000000003,156.20600000000002,311.265,157.15200000000002,130.30700000000002,157.876,228.59599999999998,160.66299999999998,264.656,160.45600000000002,77.98100000000001,162.72299999999998,29.56,164.752,145.382,165.69799999999998,,,280.101,179.908,101.419,180.938,,,,,,,,,,
185.5,742.0,,114.199,17.131,232.91099999999997,32.336,110.28399999999999,44.925,103.381,55.178000000000004,222.248,56.858000000000004,98.32,60.162,278.64,69.538,291.33799999999997,71.69800000000001,255.37900000000002,72.733,264.514,72.541,267.879,85.89399999999999,88.374,88.589,108.921,88.90700000000001,230.36599999999999,91.101,115.699,95.794,290.032,96.41,301.904,99.88600000000001,81.107,103.81200000000001,268.031,106.48299999999999,254.108,110.887,78.02199999999999,114.691,64.39399999999999,119.19,128.569,118.734,310.608,124.13799999999999,227.99400000000003,127.1,87.105,128.45600000000002,292.107,129.232,36.292,131.936,246.268,132.969,279.426,144.161,73.945,145.941,312.672,149.30100000000002,111.01799999999999,151.44799999999998,302.475,151.972,65.388,155.94299999999998,283.756,156.161,311.264,157.145,130.261,157.852,228.582,160.56799999999998,264.714,160.236,77.937,162.695,29.489,164.847,145.366,165.523,,,280.072,179.87400000000002,101.492,180.985,,,,,,,,,,
185.75,743.0,,114.126,16.992,232.775,32.327,110.27799999999999,44.97,103.413,55.19,222.27200000000002,56.718999999999994,98.21600000000001,60.141999999999996,278.589,69.494,291.303,71.758,255.347,72.763,264.443,72.559,267.865,85.87200000000001,88.447,88.626,108.88799999999999,88.87,230.355,91.10700000000001,115.719,95.815,289.955,96.41799999999999,301.966,99.51100000000001,81.125,103.803,268.024,106.491,254.06,111.105,78.086,114.713,64.376,119.124,128.534,118.721,310.66900000000004,124.10700000000001,228.00599999999997,127.087,87.179,128.388,291.769,129.25,36.3,132.015,246.265,132.97799999999998,279.435,144.061,73.913,145.88,312.623,149.284,111.046,151.461,302.58299999999997,151.892,65.382,155.901,283.777,156.189,311.282,157.132,130.203,157.925,228.632,160.531,264.675,160.36700000000002,78.155,162.782,29.576,164.801,145.423,165.62099999999998,,,280.072,179.859,101.46799999999999,181.00400000000002,,,,,,,,,,
186.0,744.0,,114.1,17.018,232.843,32.324,110.226,45.006,103.45100000000001,55.187,222.253,56.638000000000005,98.266,60.131,278.535,69.56,291.335,71.72800000000001,255.33599999999998,72.74600000000001,264.457,72.557,267.844,85.87,88.48100000000001,88.633,108.869,88.823,230.392,91.096,115.78200000000001,95.895,289.97,96.444,301.95799999999997,99.205,81.127,103.789,268.04,106.454,253.93200000000002,111.336,77.89699999999999,114.56700000000001,64.352,119.12200000000001,128.532,118.677,310.689,124.15,228.016,127.09100000000001,87.191,128.398,291.145,129.079,36.395,132.016,246.27700000000002,132.97299999999998,279.464,144.061,73.952,145.816,312.625,149.297,111.038,151.421,302.58299999999997,151.936,65.335,155.83700000000002,283.79400000000004,156.15,311.263,157.09799999999998,130.21200000000002,157.915,228.722,160.52,264.71,160.326,78.11399999999999,162.707,29.401,164.925,145.425,165.49,,,280.08799999999997,179.856,101.42200000000001,181.007,,,,,,,,,,
